Keywords,Sentiments
I can no longer access ; Can you please help,Sad
Please find our answers below,Neutral
"phone system is operable,close the ticket",Happy
not had any complaints,Happy
issue appears to be just with fax calls placed to the 8552820724 TFN,Neutral
Self-registration is currently not available,Sad
 larger outage,Sad
 service is up and stable ,Happy
able to re-produce the issue,sad
 but nobody picked the phone,Sad
"service disruption, impacting your business, poor audio trouble",Sad
Any further updates on this issue,Sad
"escalate,not received any access",Sad
still not up,Sad
circuit is showing down at both ends now,Sad
Back up now,Happy
we are seeing errors incrementing at Frankfurt,Sad
incident has been raised,Sad
Still happening,Sad
circuit down,Sad
loop still detected,Sad
phones are back up and running again,Happy
lines getting wet everytime it rained,Sad
router has failed,Sad
"reaching out to the customer again for an update, not heard back",Sad
traffic works fine,Happy
thank for the follow up,Happy
still with the issue,sad
"unable to connect and upload files , experiencing poor file transfer performance",Happy
"still is not working, does not generate a meeting session",Sad
We observe the issue restored,Happy
our management are satisfied,Happy
working with no issue,Happy
"continuing to attempt wrong
 passwords on our user accounts causing issues",sad
nothing we can do,Sad
still out of service,Sad
"did not work,temporarily blocked",Sad
"yet to see some progress,site is still down",Sad
 not available for your account,Sad
interface is down,Sad
Thanks for your assistance,Happy
had issues,Sad
has come back up,Happy
both experienced errors,Sad
had difficulty with access to level 3  ,Sad
"escalation 1 and escalation 2, nobody pick up the phone",Sad
running slower right now,sad
"escalate the issue,circuit is down",sad
"Status Failure,out of business",sad
want to understand why we have a latency difference of about 20-30ms in average,Sad
some issues identifying,sad
"Thanks a lot ,I'ts good now",Happy
working as intended now,Happy
thanks for your help,Happy
email address so your technicians/NOC know what and where the issue is,sad
indeed restored and operating fine,Happy
"have any updates for this issue,advise as soon as possible",sad
"cause an outage, cannot reboot the router",Sad
404 error,sad
seem to be down,sad
it is currently steady,happy
service is up,Happy
root cause of this issue,sad
bouncing erratically throughout the afternoon,sad
bad echo just now,sad
not able to access your device,sad
still not able to ping,sad
link was down,sad
 problem is resolved.,Happy
we are not getting loop at BT PE end,sad
 investigate and restore,sad
any further updates,sad
mis-communication somewhere down the line,sad
don't recall my security questions,sad
"feel free to close , Thank you",Happy
